step,ts_acc,maj_acc
1,0.38095238095238093,0.28125
2,0.5,0.3125
3,0.5454545454545454,0.4375
4,0.3888888888888889,0.34375
5,0.3333333333333333,0.375
6,0.6363636363636364,0.5
7,0.4444444444444444,0.3125
8,0.4642857142857143,0.46875
9,0.5,0.375
10,0.4,0.40625
11,0.3333333333333333,0.34375
12,0.42105263157894735,0.34375
13,0.5,0.53125
14,0.4090909090909091,0.46875
15,0.5,0.375
16,0.45,0.375
16,0.43478260869565216,0.34375
17,0.4782608695652174,0.4375
17,0.46153846153846156,0.40625
18,0.4230769230769231,0.375
19,0.6086956521739131,0.46875
20,0.5454545454545454,0.4375
21,0.24,0.25
22,0.5217391304347826,0.46875
23,0.6666666666666666,0.6875
24,0.34782608695652173,0.34375
25,0.625,0.5625
26,0.5652173913043478,0.4375
27,0.6,0.53125
28,0.6666666666666666,0.5
29,0.52,0.5
31,0.6470588235294118,0.375
32,0.5652173913043478,0.46875
33,0.68,0.53125
34,0.625,0.53125
35,0.625,0.5625
36,0.68,0.5625
37,0.6666666666666666,0.5625
38,0.64,0.53125
39,0.47619047619047616,0.5
40,0.7058823529411765,0.5
41,0.9,0.65625
42,0.75,0.65625
43,0.631578947368421,0.46875
44,0.7619047619047619,0.59375
45,0.5217391304347826,0.4375
46,0.6521739130434783,0.53125
47,0.7368421052631579,0.53125
48,0.5,0.46875
49,0.6,0.53125
50,0.6818181818181818,0.5
51,0.631578947368421,0.4375
52,0.6842105263157895,0.375
53,0.5909090909090909,0.53125
54,0.8,0.625
55,0.6,0.46875
56,0.6818181818181818,0.59375
57,0.7083333333333334,0.6875
58,0.6666666666666666,0.5
59,0.7142857142857143,0.53125
60,0.8181818181818182,0.5625
61,0.5882352941176471,0.375
62,0.5416666666666666,0.5625
63,0.6666666666666666,0.46875
64,0.6,0.4375
65,0.6521739130434783,0.5
66,0.6842105263157895,0.40625
67,0.8823529411764706,0.53125
68,0.8181818181818182,0.625
69,0.631578947368421,0.40625
70,0.68,0.59375
71,0.8,0.65625
72,0.5555555555555556,0.40625
73,0.5833333333333334,0.46875
74,0.7368421052631579,0.5
75,0.5652173913043478,0.5625
76,0.7272727272727273,0.5
77,0.7619047619047619,0.625
78,0.7,0.59375
79,0.6818181818181818,0.5
80,0.7727272727272727,0.59375
81,0.8636363636363636,0.5625
82,0.8181818181818182,0.625
83,0.6071428571428571,0.5625
84,0.6111111111111112,0.4375
85,0.56,0.5
86,0.6153846153846154,0.53125
87,0.5909090909090909,0.4375
88,0.65,0.5
89,0.43478260869565216,0.40625
90,0.5789473684210527,0.53125
91,0.5,0.4375
92,0.55,0.4375
93,0.5833333333333334,0.4375
94,0.6521739130434783,0.5
95,0.8076923076923077,0.71875
96,0.782608695652174,0.65625
97,0.6923076923076923,0.625
98,0.5416666666666666,0.40625
99,0.43478260869565216,0.375
100,0.6666666666666666,0.46875
101,0.6923076923076923,0.59375
102,0.6521739130434783,0.5625
103,0.64,0.5625
104,0.5909090909090909,0.4375
105,0.5833333333333334,0.5
106,0.6111111111111112,0.5
107,0.6521739130434783,0.5
108,0.7619047619047619,0.53125
109,0.6956521739130435,0.5
110,0.7391304347826086,0.65625
