gt_tp_rate,gt_tn_rate,gt_fp_rate,gt_fn_rate,step
0.07631578947368421,0.4394736842105263,0.44473684210526315,0.039473684210526314,1
0.09438202247191012,0.40898876404494383,0.4696629213483146,0.02696629213483146,2
0.13333333333333333,0.4121212121212121,0.4,0.05454545454545454,3
0.12219451371571072,0.47381546134663344,0.3740648379052369,0.029925187032418952,4
0.15,0.4076923076923077,0.41923076923076924,0.023076923076923078,5
0.11780104712041885,0.3900523560209424,0.43455497382198954,0.05759162303664921,6
0.07932011331444759,0.4985835694050991,0.37110481586402266,0.05099150141643059,7
0.09873417721518987,0.43037974683544306,0.43544303797468353,0.035443037974683546,8
0.11838790931989925,0.4433249370277078,0.38287153652392947,0.055415617128463476,9
0.0711743772241993,0.3879003558718861,0.505338078291815,0.03558718861209965,10
0.10876132930513595,0.486404833836858,0.3685800604229607,0.03625377643504532,11
0.04020100502512563,0.4472361809045226,0.48743718592964824,0.02512562814070352,12
0.09897610921501707,0.4709897610921502,0.40273037542662116,0.027303754266211604,13
0.14840989399293286,0.607773851590106,0.20848056537102475,0.0353356890459364,14
0.09090909090909091,0.48951048951048953,0.4125874125874126,0.006993006993006993,15
0.09236947791164658,0.4738955823293173,0.40160642570281124,0.0321285140562249,16
0.08403361344537816,0.5994397759103641,0.2913165266106443,0.025210084033613446,17
0.12738853503184713,0.5063694267515924,0.3343949044585987,0.03184713375796178,18
0.07547169811320754,0.5283018867924528,0.30660377358490565,0.08962264150943396,19
0.07784431137724551,0.4311377245508982,0.40119760479041916,0.08982035928143713,20
0.07780979827089338,0.5187319884726225,0.345821325648415,0.05763688760806916,21
0.16796875,0.54296875,0.25390625,0.03515625,22
0.10931174089068826,0.4979757085020243,0.3603238866396761,0.032388663967611336,23
0.09235668789808917,0.5636942675159236,0.2929936305732484,0.050955414012738856,24
0.1169811320754717,0.4679245283018868,0.32452830188679244,0.09056603773584905,25
0.09657320872274143,0.5233644859813084,0.2616822429906542,0.11838006230529595,26
0.07451923076923077,0.5,0.37740384615384615,0.04807692307692308,27
0.13756613756613756,0.5661375661375662,0.2275132275132275,0.06878306878306878,28
0.1167192429022082,0.444794952681388,0.38485804416403785,0.05362776025236593,29
0.08411214953271028,0.5202492211838006,0.3146417445482866,0.08099688473520249,30
0.16463414634146342,0.38414634146341464,0.3231707317073171,0.12804878048780488,31
0.09771986970684039,0.501628664495114,0.34527687296416937,0.05537459283387622,32
0.08846153846153847,0.5346153846153846,0.3192307692307692,0.057692307692307696,33
0.1414790996784566,0.44694533762057875,0.3022508038585209,0.10932475884244373,34
0.18857142857142858,0.5542857142857143,0.17142857142857143,0.08571428571428572,35
0.12034383954154727,0.49283667621776506,0.31805157593123207,0.06876790830945559,36
0.12626262626262627,0.43434343434343436,0.3333333333333333,0.10606060606060606,37
0.125,0.5833333333333334,0.20833333333333334,0.08333333333333333,38
0.09917355371900827,0.4793388429752066,0.3884297520661157,0.03305785123966942,39
0.1649122807017544,0.38596491228070173,0.3894736842105263,0.05964912280701754,40
0.11396011396011396,0.49572649572649574,0.3475783475783476,0.042735042735042736,41
0.0851063829787234,0.43465045592705165,0.425531914893617,0.0547112462006079,42
0.10043668122270742,0.5065502183406113,0.3318777292576419,0.0611353711790393,43
0.12225705329153605,0.54858934169279,0.25391849529780564,0.07523510971786834,44
0.2178988326848249,0.4085603112840467,0.31906614785992216,0.054474708171206226,45
0.2109090909090909,0.5890909090909091,0.18181818181818182,0.01818181818181818,46
0.06227106227106227,0.5347985347985348,0.3772893772893773,0.02564102564102564,47
0.12341772151898735,0.5443037974683544,0.28164556962025317,0.05063291139240506,48
0.16759776536312848,0.43575418994413406,0.29608938547486036,0.1005586592178771,49
0.13924050632911392,0.5506329113924051,0.2468354430379747,0.06329113924050633,50
0.13917525773195877,0.4536082474226804,0.34536082474226804,0.061855670103092786,51
0.20068027210884354,0.5102040816326531,0.21768707482993196,0.07142857142857142,52
0.17343173431734318,0.4907749077490775,0.2730627306273063,0.06273062730627306,53
0.140625,0.52734375,0.26171875,0.0703125,54
0.34806629834254144,0.4861878453038674,0.11602209944751381,0.049723756906077346,55
0.16731517509727625,0.4669260700389105,0.3346303501945525,0.0311284046692607,56
0.17041800643086816,0.4983922829581994,0.2733118971061093,0.05787781350482315,57
0.18340611353711792,0.5021834061135371,0.2576419213973799,0.056768558951965066,58
0.12658227848101267,0.5063291139240507,0.31962025316455694,0.04746835443037975,59
0.13973799126637554,0.5327510917030568,0.2925764192139738,0.034934497816593885,60
0.10064935064935066,0.551948051948052,0.2857142857142857,0.06168831168831169,61
